"","...1","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"1","서울시 평균",2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,3,3,2,1,1,2,1,2,2,1,2
"2","종로구",2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,2,2,1,1,2,1,2
"3","중구",2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,1,2,1,1,2,1,2
"4","용산구",2,2,1,1,1,1,1,1,0,1,1,2,1,1,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,1,2
"5","성동구",2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,3,3,2,1,2,2,2,2,2,2,2
"6","광진구",2,2,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,3,2,1,2,2,1,1,2,1,2
"7","동대문구",2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,1,2
"8","중랑구",2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,1,2
"9","성북구",2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,1,2
"10","강북구",2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,2,2,1,2,2,2,2
"11","도봉구",2,2,2,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,3,2,1,1,2,1,1,2,1,2
"12","노원구",2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,2,2,1,2,2,2,2
"13","은평구",2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,3,2,2,2,2,3,2,1,1,2,1,2,2,1,2
"14","서대문구",2,2,1,2,1,2,1,1,1,1,2,2,2,1,2,2,3,2,2,2,2,3,2,1,1,2,1,2,2,1,2
"15","마포구",2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,3,2,2,2,3,3,2,1,2,2,1,2,2,2,2
"16","양천구",2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,3,2,2,2,3,3,2,1,2,2,1,2,2,2,2
"17","강서구",2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,3,2,2,3,3,3,2,1,2,2,1,2,2,2,2
"18","구로구",2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,3,2,2,2,3,3,2,1,1,2,1,2,2,1,2
"19","금천구",2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,3,2,2,2,3,3,2,1,1,2,1,1,1,1,2
"20","영등포구",2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,3,2,2,2,3,3,2,1,2,2,1,2,2,1,2
"21","동작구",2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,3,2,2,2,3,3,2,1,1,2,1,2,2,1,2
"22","관악구",2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,3,2,2,2,3,3,2,1,2,2,1,2,2,2,2
"23","서초구",2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,3,3,2,1,1,2,1,1,1,1,2
"24","강남구",2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,3,3,2,1,1,2,1,1,1,1,2
"25","송파구",2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,2,2,1,2,2,2,2
"26","강동구",2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,1,1,1,1,2
