"","...1","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"1","서울시 평균",1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,0,0,1,1,0,0,0,1,1
"2","종로구",1,2,2,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1
"3","중구",1,2,2,1,1,2,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1
"4","용산구",1,2,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1
"5","성동구",1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,0,0,0,1,1
"6","광진구",1,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,2,1,1,0,0,1,1,0,0,0,1,1
"7","동대문구",1,1,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1
"8","중랑구",1,2,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1
"9","성북구",2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,0,0,0,1,1
"10","강북구",1,2,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1
"11","도봉구",2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,0,0,1,1,0,0,0,1,1
"12","노원구",1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1
"13","은평구",1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,0,0,1,1,0,0,1,1,1
"14","서대문구",1,2,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,2,1,1,0,0,1,1,0,0,0,1,1
"15","마포구",NA,NA,NA,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,2,1,1,0,0,1,1,0,0,0,1,1
"16","양천구",2,2,2,1,2,2,1,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,0,0,1,1,0,0,0,1,1
"17","강서구",1,2,2,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1
"18","구로구",2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,1,0,0,1,1,0,0,0,1,1
"19","금천구",2,2,2,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,1,0,1,1,0,0,1,1,1
"20","영등포구",2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1
"21","동작구",2,2,2,1,2,2,1,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,1,0,1,1,0,0,1,1,1
"22","관악구",2,2,2,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,0,0,1,1,1
"23","서초구",1,2,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,2,1,1,0,0,1,1,0,0,0,1,1
"24","강남구",1,2,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1
"25","송파구",1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1
"26","강동구",2,2,2,1,1,1,1,1,1,1,0,0,2,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
